,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
344,2007,COD,Dem. Rep. of the Congo,RWA,Rwanda,FIN,Finland,188,"[25.0, 0.0]","[30.0, -2.0]","[26.0, 64.0]"
345,2007,ERI,Eritrea,SDN,Sudan,USA,United States of America,41,"[39.0, 15.0]","[30.0, 15.0]","[-97.0, 38.0]"
346,2007,COD,Dem. Rep. of the Congo,COG,Congo,CAN,Canada,22,"[25.0, 0.0]","[15.0, -1.0]","[-95.0, 60.0]"
347,2007,COD,Dem. Rep. of the Congo,BDI,Burundi,NLD,Netherlands,13,"[25.0, 0.0]","[30.0, -3.5]","[5.75, 52.5]"
348,2007,COD,Dem. Rep. of the Congo,RWA,Rwanda,CAN,Canada,15,"[25.0, 0.0]","[30.0, -2.0]","[-95.0, 60.0]"
349,2007,SOM,Somalia,ETH,Ethiopia,NOR,Norway,24,"[49.0, 10.0]","[38.0, 8.0]","[10.0, 62.0]"
350,2007,COD,Dem. Rep. of the Congo,ETH,Ethiopia,NZL,New Zealand,7,"[25.0, 0.0]","[38.0, 8.0]","[174.0, -41.0]"
351,2007,COD,Dem. Rep. of the Congo,ETH,Ethiopia,USA,United States of America,14,"[25.0, 0.0]","[38.0, 8.0]","[-97.0, 38.0]"
352,2007,COD,Dem. Rep. of the Congo,UGA,Uganda,NLD,Netherlands,4,"[25.0, 0.0]","[32.0, 1.0]","[5.75, 52.5]"
353,2007,SDN,Sudan,KEN,Kenya,AUS,Australia,18,"[30.0, 15.0]","[38.0, 1.0]","[133.0, -27.0]"
354,2007,ERI,Eritrea,SDN,Sudan,FIN,Finland,1,"[39.0, 15.0]","[30.0, 15.0]","[26.0, 64.0]"
355,2007,SOM,Somalia,SDN,Sudan,USA,United States of America,23,"[49.0, 10.0]","[30.0, 15.0]","[-97.0, 38.0]"
356,2007,SOM,Somalia,ERI,Eritrea,CAN,Canada,218,"[49.0, 10.0]","[39.0, 15.0]","[-95.0, 60.0]"
357,2007,COD,Dem. Rep. of the Congo,COG,Congo,NLD,Netherlands,5,"[25.0, 0.0]","[15.0, -1.0]","[5.75, 52.5]"
358,2007,COD,Dem. Rep. of the Congo,SOM,Somalia,CAN,Canada,1,"[25.0, 0.0]","[49.0, 10.0]","[-95.0, 60.0]"
359,2007,COD,Dem. Rep. of the Congo,RWA,Rwanda,NOR,Norway,22,"[25.0, 0.0]","[30.0, -2.0]","[10.0, 62.0]"
